0,1,2,3,4,5,6,7,8,9,10,11,12
23,NOUN,PREP,NOUN,CONJ,NOUN,NOUN,,NOUN,PREP,NOUN,1,0
24,ADJF,NOUN,ADJF,PREP,NOUN,ADJF,PREP,ADJF,NOUN,INFN,3,0
69,NOUN,PREP,INFN,NOUN,ADJF,PREP,ADJF,CONJ,ADJF,ADVB,3,0
30,INFN,ADJF,PREP,NOUN,PREP,ADJF,NOUN,CONJ,INFN,ADJF,1,0
82,PREP,NOUN,,PREP,NOUN,NOUN,INFN,PREP,NOUN,ADJF,1,0
17,NOUN,NOUN,NOUN,PREP,NUMR,ADJF,,NOUN,CONJ,CONJ,1,0
3,NOUN,NOUN,,,,,,,,,9,0
25,ADJF,NOUN,NOUN,NOUN,,PREP,ADJF,NOUN,PREP,ADJF,3,0
3,,,,,,NOUN,ADJF,,,,1,0
20,,,,,,NOUN,INFN,ADJF,NOUN,PREP,1,0
19,,,,,,NOUN,,,PREP,NOUN,3,0
15,NOUN,,ADJF,NOUN,,NOUN,NOUN,,,NOUN,1,0
5,,,,,,NOUN,NOUN,NOUN,NOUN,,6,0
3,ADJF,PREP,,,,,,,,,4,0
4,,,,,,ADJF,NOUN,PREP,,,6,0
36,ADJF,NOUN,,PREP,ADJF,ADJF,NOUN,PREP,,NOUN,1,0
4,PREP,NOUN,PREP,,,,,,,,2,0
3,,,,,,NOUN,NOUN,,,,6,0
23,INFN,PRCL,,,INFN,NOUN,NOUN,,,,1,0
15,NOUN,PREP,NOUN,PREP,INTJ,PREP,,INTJ,,,1,0
3,NOUN,,,,,PREP,,,,,3,1
4,,,,,,NOUN,,NOUN,,,1,0
5,ADJF,NOUN,,,,NOUN,ADJF,,,,1,0
3,ADJF,,,,,CONJ,,,,,7,0
20,NOUN,NOUN,NOUN,PREP,ADJF,NOUN,NOUN,CONJ,,NUMR,1,0
14,,,,,,ADJF,NOUN,NUMR,ADJF,NOUN,3,0
40,NOUN,PREP,NOUN,PREP,NOUN,NOUN,NOUN,,,,3,0
5,,,,,,NOUN,INFN,,NOUN,,1,0
3,NOUN,,,,,NOUN,,,,,3,0
5,ADJF,NOUN,,,,NOUN,ADJF,,,,1,0
3,NOUN,,,,,NOUN,,,,,1,0
19,PREP,NOUN,NOUN,PREP,NOUN,NOUN,,,,,1,0
49,NOUN,INFN,NOUN,NOUN,PREP,PREP,NOUN,CONJ,NOUN,PREP,1,0
14,ADJF,NOUN,NOUN,NOUN,,NOUN,PREP,NOUN,INFN,PREP,3,0
23,NOUN,PRCL,PREP,NOUN,NOUN,INFN,ADVB,NOUN,CONJ,ADVB,1,0
53,ADJF,NOUN,ADJF,INFN,ADVB,ADVB,NPRO,INFN,ADJF,PREP,1,0
15,NOUN,PREP,INFN,,,INFN,NOUN,NOUN,INFN,ADJF,1,0
21,NOUN,PREP,NOUN,ADJF,PREP,NOUN,CONJ,CONJ,PREP,NOUN,1,0
25,ADJF,PREP,NOUN,NOUN,NOUN,NOUN,INFN,ADJF,NOUN,NOUN,1,0
7,NOUN,ADJF,,,,NOUN,,,NOUN,,1,0
3,PREP,INFN,,,,,,,,,13,0
36,,NOUN,PREP,NOUN,,NOUN,NOUN,,,,3,0
17,NOUN,NOUN,ADJF,NOUN,NOUN,PREP,ADJF,NOUN,NOUN,PREP,1,0
8,,,,,,NOUN,NOUN,PREP,NOUN,PREP,1,0
12,NOUN,PREP,INFN,ADVB,NOUN,,,,,,1,0
29,NOUN,NOUN,ADJF,ADJF,NOUN,NOUN,,,,NOUN,1,0
27,PREP,CONJ,CONJ,NOUN,PREP,ADJF,NOUN,CONJ,NOUN,,1,0
3,,,,,,PREP,NOUN,,,,6,0
9,NOUN,NOUN,ADVB,ADVB,,NOUN,INFN,NOUN,NOUN,,1,0
17,ADJF,ADJF,NOUN,,NOUN,NOUN,PREP,NOUN,,NOUN,1,0
28,,,,ADJF,,ADJF,NOUN,PREP,ADJF,NOUN,1,0
4,,,,,,ADJF,NOUN,NOUN,,,1,0
29,NOUN,ADJF,NOUN,NOUN,ADJF,ADJF,NOUN,PREP,,NOUN,1,0
52,ADJF,NOUN,PREP,CONJ,NOUN,,,,,,1,0
4,,,,,,NOUN,,NOUN,,,9,0
10,,,,,,PREP,NOUN,ADJF,NOUN,PREP,1,0
69,ADJF,PREP,CONJ,NOUN,ADJF,ADVB,NOUN,NOUN,INFN,PREP,1,0
13,,,,,,ADJF,ADJF,,INFN,NOUN,1,0
86,ADJF,NOUN,,NOUN,CONJ,,NOUN,PREP,NOUN,,3,0
3,,,,,,NOUN,PREP,,,,16,0
3,,,,,,PREP,NOUN,,,,1,0
102,ADJF,PREP,INFN,ADVB,,PREP,ADJF,PRCL,NOUN,CONJ,1,0
22,NOUN,NOUN,INFN,INFN,NOUN,PREP,NOUN,PREP,NOUN,PREP,1,0
22,,,,,,NOUN,INFN,PREP,NOUN,ADJF,6,0
27,PREP,NOUN,ADJF,NOUN,PREP,ADJF,ADJF,ADJF,NOUN,NOUN,1,0
15,,,,,,ADJF,ADJF,NOUN,,NOUN,1,0
12,PRCL,INFN,NOUN,NOUN,ADJF,NOUN,,NOUN,PREP,NOUN,1,0
22,NOUN,,PREP,NOUN,NOUN,NOUN,CONJ,NOUN,PREP,NOUN,1,0
3,,,,,,CONJ,NOUN,,,,1,0
3,,,,,,NOUN,NOUN,,,,1,0
16,NOUN,PREP,ADJF,NOUN,INFN,NOUN,,NOUN,CONJ,PREP,1,0
13,NOUN,NOUN,ADJF,INFN,ADJF,ADJF,NOUN,,,,1,0
4,,,,,,NOUN,ADJF,NOUN,,,3,0
48,NOUN,,NOUN,,,ADJF,NOUN,ADJF,NOUN,ADJF,1,0
14,ADJF,NOUN,ADJF,ADJF,INFN,,,,,,3,0
46,NOUN,PREP,NOUN,ADJF,NOUN,NOUN,PREP,NOUN,CONJ,PREP,3,0
10,,,,,,NOUN,,NOUN,ADJF,,1,0
4,NOUN,ADJF,,,,NOUN,,,,,1,0
99,,NOUN,NOUN,NUMR,INFN,VERB,PREP,ADJF,CONJ,ADJF,1,0
23,NOUN,ADJF,NOUN,,NOUN,NOUN,,NOUN,,,10,0
43,NOUN,,PREP,NOUN,PREP,NOUN,NOUN,NOUN,NOUN,INFN,1,0
5,,,,,,ADJF,NOUN,,NOUN,,1,0
33,,NOUN,PREP,NOUN,,NOUN,NOUN,,,,3,0
16,ADJF,NOUN,NOUN,ADJF,ADJF,INFN,NOUN,PREP,NOUN,CONJ,1,0
3,NOUN,,,,,NOUN,,,,,3,0
21,ADJF,INFN,NOUN,PREP,NOUN,NOUN,NOUN,ADJF,INFN,ADJF,1,0
100,PREP,INFN,NOUN,,,NOUN,NOUN,NOUN,NOUN,NOUN,1,0
30,NOUN,ADJF,,,,NOUN,,ADVB,PREP,ADJF,1,0
5,NOUN,NOUN,PREP,NOUN,,,,,,,12,1
24,PREP,NOUN,CONJ,NOUN,PREP,NOUN,,,,,1,0
11,PREP,NOUN,NOUN,PREP,NOUN,NOUN,NOUN,PREP,,,1,0
5,PREP,,,,,PREP,,NOUN,,,1,0
3,,,,,,NOUN,ADJF,,,,5,0
9,PREP,NOUN,NOUN,PREP,NOUN,NOUN,,,,,4,0
31,NOUN,NOUN,PREP,,NOUN,NOUN,,NOUN,NOUN,,1,0
11,,,,,,NOUN,PREP,NOUN,NOUN,,1,0
21,,,,,,ADJF,ADJF,NOUN,INFN,PREP,1,0
14,NOUN,PREP,NOUN,PREP,NOUN,CONJ,PREP,INFN,PREP,NOUN,1,0
27,NOUN,ADJF,NOUN,ADJF,PREP,ADJF,,NOUN,PREP,ADJF,1,0
16,ADJF,NOUN,NOUN,NOUN,,ADJF,NOUN,PREP,NOUN,NOUN,3,0
13,ADJF,CONJ,ADJF,INFN,NOUN,NOUN,PREP,NOUN,NOUN,INFN,1,0
16,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
23,,,,,,INFN,ADJF,NOUN,NOUN,PREP,3,0
9,,,,,,NOUN,ADJF,PREP,ADJF,PREP,1,0
6,,,,,,PREP,NOUN,PREP,,NOUN,2,0
3,PREP,CONJ,,,,,,,,,2,0
3,NOUN,NOUN,,,,,,,,,1,0
46,NOUN,PREP,NOUN,,PREP,NOUN,,NOUN,PREP,NOUN,1,0
17,,,,,,NOUN,ADJF,ADJF,,PREP,1,0
23,PREP,NOUN,ADJF,CONJ,NOUN,ADJF,ADJF,PREP,NOUN,ADJF,1,0
8,,,,,,NOUN,NOUN,PREP,NOUN,PREP,1,0
3,NOUN,,,,,NOUN,,,,,1,0
24,PREP,,NOUN,PREP,ADVB,PREP,,INTJ,PREP,NOUN,1,0
29,PRCL,GRND,NOUN,NUMR,INFN,,NOUN,,INTJ,,3,0
12,,,,,,NOUN,ADJF,NOUN,CONJ,INFN,1,0
11,ADJF,NOUN,ADJF,NOUN,NOUN,INFN,PREP,NOUN,NOUN,,3,0
13,PREP,ADVB,INFN,NOUN,PREP,PREP,NOUN,,,,1,0
3,NOUN,PREP,,,,,,,,,8,0
12,,,,,,NOUN,ADJF,NOUN,PREP,ADJF,1,0
10,ADJF,NOUN,INFN,INFN,NOUN,ADJF,NOUN,,,,3,0
12,ADJF,ADJF,NOUN,,ADJF,PREP,ADJF,NOUN,,,1,0
16,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
24,INFN,PRCL,,,INFN,NOUN,NOUN,,,,1,0
29,NOUN,ADJF,NOUN,ADVB,NOUN,PREP,NUMR,NOUN,PREP,ADJF,3,0
28,NOUN,NOUN,PREP,NOUN,ADJF,ADVB,,,,,3,0
16,INFN,,,NOUN,ADJF,,,NOUN,CONJ,,1,0
3,NOUN,NOUN,,,,,,,,,1,0
23,NOUN,ADJF,NOUN,,PREP,NOUN,INFN,NOUN,,NOUN,1,0
7,NOUN,INFN,NOUN,PREP,,ADJF,NOUN,,,,6,0
11,ADJF,NOUN,NOUN,CONJ,NOUN,,,,,,3,0
4,,,,,,PREP,NOUN,ADJF,,,1,0
9,,,,,,ADJF,NOUN,ADJF,INFN,PREP,1,0
28,NOUN,PREP,INFN,NOUN,ADJF,PREP,NOUN,NOUN,NOUN,CONJ,3,0
15,,,,,,ADJF,NOUN,ADJF,NOUN,ADJF,3,0
19,NOUN,ADJF,,,,NOUN,,NOUN,PREP,NOUN,1,0
3,,,,,,PREP,ADJF,,,,8,0
34,ADJF,NOUN,NOUN,PREP,NOUN,NOUN,NOUN,NOUN,NOUN,ADJF,3,0
4,NOUN,ADJF,,,,ADJF,,,,,1,0
38,PREP,NOUN,INFN,PREP,NOUN,ADJF,NOUN,NOUN,CONJ,NOUN,3,0
8,NOUN,ADJF,ADJF,,,NOUN,ADJF,ADJF,ADJF,,3,0
10,ADJF,PREP,NOUN,NOUN,ADJF,,,,,,3,0
5,,,,,,NOUN,NOUN,,NOUN,,3,0
22,NOUN,,PREP,NOUN,NOUN,NOUN,PREP,NOUN,ADJF,NOUN,1,0
4,,,,,,NOUN,,NOUN,,,2,0
3,,,,,,INFN,PREP,,,,2,0
16,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
20,ADJF,NOUN,,,,NOUN,NOUN,ADJF,NOUN,PREP,3,0
3,,,,,,PREP,NOUN,,,,29,0
19,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
12,PREP,INFN,NOUN,ADJF,ADJF,NOUN,ADVB,ADJF,,,1,0
19,,,,,,NOUN,,NOUN,ADJF,ADJF,6,0
34,ADJF,PREP,NOUN,NOUN,NOUN,PREP,NOUN,NUMR,ADJF,NOUN,3,0
18,ADJF,INFN,ADJF,PREP,NOUN,,NOUN,,,,1,0
20,CONJ,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,NOUN,,,3,0
23,NOUN,ADJF,NOUN,NOUN,ADJF,NOUN,,NOUN,,,10,0
21,NOUN,ADJF,PREP,NOUN,ADJF,NOUN,,,,,1,0
3,PREP,,,,,INFN,,,,,4,0
18,NOUN,NOUN,NOUN,NOUN,,NOUN,CONJ,NOUN,NOUN,ADJF,1,0
18,CONJ,NOUN,NOUN,PREP,ADJF,NOUN,PREP,NPRO,,,1,0
28,NOUN,PREP,NOUN,ADVB,NOUN,NOUN,,,,,1,0
4,NOUN,ADJF,,,,NOUN,,,,,1,0
10,NOUN,,ADJF,NOUN,,NOUN,,,,,1,0
3,PREP,,,,,ADJF,,,,,4,0
7,ADJF,NOUN,NOUN,PREP,,ADJF,NOUN,,,,3,0
10,NOUN,NOUN,NOUN,,,PREP,NOUN,PREP,NOUN,ADJF,1,0
25,NOUN,NOUN,ADJF,PREP,NOUN,ADJF,ADJF,NOUN,PREP,ADJF,1,0
59,ADJF,PREP,NOUN,ADJF,ADJF,CONJ,ADJF,NOUN,,,1,0
3,,,,,,PREP,NOUN,,,,7,0
6,ADJF,NOUN,PREP,NOUN,NOUN,,,,,,4,0
4,NOUN,NOUN,PREP,,,,,,,,2,0
25,PREP,INFN,ADJF,PREP,NOUN,NOUN,CONJ,,ADJF,PREP,1,0
6,INFN,PRCL,,,,NOUN,NOUN,,,,165,0
31,,NOUN,NPRO,PREP,NOUN,NOUN,NOUN,,ADJF,NOUN,15,0
3,,,,,,NOUN,PREP,,,,1,0
18,NOUN,NOUN,NOUN,NOUN,NOUN,,NOUN,NOUN,NOUN,PREP,1,0
8,INFN,NOUN,PREP,,,NOUN,ADJF,ADJF,NOUN,,1,0
14,NOUN,NOUN,PREP,NOUN,ADJF,NOUN,ADJF,NOUN,PREP,NOUN,1,0
11,,,,,,NOUN,NOUN,ADJF,NOUN,PREP,3,0
11,,,,,,NOUN,PREP,ADJF,NOUN,INFN,1,0
4,,,,,,PREP,NOUN,NOUN,,,1,0
5,ADJF,ADJF,,,,ADJF,ADJF,,,,1,0
44,ADJF,NOUN,PREP,INFN,NOUN,PREP,NOUN,ADJF,NOUN,ADJF,1,0
3,INFN,NOUN,,,,,,,,,1,0
24,INFN,PRCL,,,INFN,NOUN,NOUN,,,,3,0
25,INFN,PRCL,PRCL,,,NOUN,NOUN,,,,1,0
30,ADJF,NOUN,CONJ,NOUN,NOUN,ADJF,NOUN,NOUN,,NOUN,1,0
31,NOUN,NOUN,ADJF,PREP,NOUN,INFN,PREP,NOUN,PREP,NOUN,6,0
15,NOUN,ADVB,NOUN,NOUN,ADVB,PREP,NOUN,NOUN,,,1,0
11,PREP,NOUN,ADJF,PREP,INFN,NOUN,PREP,NOUN,,,1,0
4,NOUN,ADJF,ADVB,,,,,,,,2,0
13,,,,,,CONJ,NOUN,NOUN,ADVB,ADJF,9,0
3,PREP,NOUN,,,,,,,,,2,0
3,PREP,NOUN,,,,,,,,,6,0
8,,,,,,ADJF,NOUN,PREP,NOUN,NOUN,1,0
22,ADJF,,,NOUN,,,NOUN,,,ADJF,1,0
6,,,,,,PREP,NOUN,NOUN,PREP,ADJF,10,0
31,ADJF,NOUN,ADJF,CONJ,NOUN,PREP,ADJF,ADVB,INFN,ADJF,1,0
17,ADJF,CONJ,NOUN,NOUN,PREP,NOUN,NOUN,PREP,NOUN,NOUN,1,0
20,,,,,,INFN,ADJF,NOUN,ADJF,NOUN,6,0
20,ADJF,CONJ,INFN,,NOUN,PREP,PREP,NOUN,PREP,ADJF,3,0
30,PREP,NOUN,,PREP,NOUN,PREP,,PREP,,NOUN,1,0
32,NOUN,CONJ,NOUN,PREP,INFN,NOUN,PREP,NOUN,NOUN,,6,0
3,ADJF,,,,,PREP,,,,,1,0
18,NOUN,ADJF,ADVB,CONJ,CONJ,NOUN,PREP,NOUN,,NOUN,1,0
14,NOUN,ADJF,CONJ,ADJS,NOUN,NOUN,,NOUN,PREP,NOUN,1,0
23,NOUN,,NOUN,ADJF,ADJF,NOUN,NOUN,NOUN,PREP,ADJF,1,0
20,ADJF,NOUN,ADVB,,NOUN,PREP,NOUN,,,,3,0
12,CONJ,NOUN,ADJF,PREP,NOUN,ADJF,NOUN,,,,1,0
3,,,,,,PREP,NOUN,,,,31,0
11,,,,,,NOUN,NOUN,PREP,NOUN,ADJF,1,0
3,INFN,NOUN,,,,,,,,,2,0
4,NOUN,ADJF,,,,NOUN,,,,,1,0
6,ADJF,NOUN,,NOUN,NOUN,,,,,,1,0
34,PREP,NOUN,NOUN,ADJF,NOUN,NOUN,PREP,NOUN,,,3,0
17,ADJF,NOUN,ADJF,,,INFN,PREP,NOUN,PREP,NOUN,1,0
3,,,,,,PREP,NOUN,,,,4,0
25,NOUN,PREP,INFN,NOUN,PREP,NOUN,INFN,ADJF,NOUN,,1,0
4,NOUN,NOUN,ADJF,,,,,,,,2,0
5,ADJF,NOUN,,,,NOUN,ADJF,,,,1,0
19,NOUN,NOUN,INFN,NOUN,PRCL,CONJ,NOUN,PREP,NOUN,CONJ,1,0
3,,,,,,PREP,ADJF,,,,3,0
17,NOUN,ADVB,VERB,NOUN,ADJF,PREP,NOUN,NOUN,PREP,NOUN,1,0
11,NOUN,NOUN,ADJF,,,NOUN,,NOUN,INFN,NOUN,1,0
40,PREP,ADVB,INFN,CONJ,NOUN,NOUN,PREP,NOUN,NOUN,NOUN,1,0
16,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
5,ADJF,NOUN,,,,NOUN,ADJF,,,,1,0
3,NUMR,,,,,NOUN,,,,,3,0
10,,,,,,NOUN,,NOUN,PREP,NOUN,36,0
7,ADJF,NOUN,NOUN,,,PREP,NOUN,NOUN,,,1,0
17,ADJF,CONJ,NOUN,ADJF,PREP,CONJ,ADJF,PRCL,PRCL,INFN,1,0
7,,,,,,NOUN,ADJF,PREP,,NOUN,6,0
34,NOUN,CONJ,CONJ,NOUN,ADJF,NOUN,NOUN,NOUN,,,3,0
14,,,,,,ADJF,ADJF,NOUN,INFN,PREP,1,0
6,,,,,,NOUN,NOUN,CONJ,NOUN,ADJF,6,0
20,NOUN,NOUN,NOUN,PREP,INFN,PREP,ADJF,NOUN,,,1,0
20,NOUN,ADJF,ADJF,ADJF,NOUN,NOUN,NOUN,,NOUN,PREP,1,0
5,NOUN,NOUN,ADJF,ADJF,,,,,,,15,0
15,,,,,,,PREP,ADJF,NOUN,ADJF,1,0
4,ADJF,ADJF,,,,PREP,,,,,1,1
15,NOUN,NOUN,NOUN,,,CONJ,INFN,ADVB,NPRO,ADJF,1,0
3,ADJF,,,,,ADJF,,,,,1,0
17,ADJF,PREP,INFN,NOUN,NOUN,CONJ,NOUN,,,,1,0
12,,,,,,,PREP,NOUN,NOUN,NOUN,1,0
22,ADJF,NOUN,PREP,,NOUN,,,,,,1,0
16,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
11,NOUN,,NOUN,ADJF,NOUN,NOUN,,,,,1,0
33,NOUN,NOUN,INFN,NOUN,NOUN,PREP,NOUN,NOUN,PREP,NOUN,1,0
3,,,,,,NOUN,PREP,,,,8,0
30,ADJF,NOUN,ADJF,NOUN,ADJF,,,,,,3,0
3,,,,,,NOUN,NOUN,,,,3,0
5,NOUN,ADJF,ADJF,,,NOUN,,,,,1,0
43,NOUN,INFN,ADVB,NOUN,ADJF,PREP,NOUN,NOUN,NOUN,NOUN,3,0
23,NOUN,PREP,NOUN,NOUN,PREP,INFN,PREP,NOUN,INFN,PREP,6,0
14,NOUN,NOUN,NOUN,,,ADJF,ADJF,NOUN,ADJF,NOUN,6,0
16,ADJF,NOUN,PREP,NOUN,NOUN,,,,,,1,0
36,ADVB,,,,,NOUN,INFN,NOUN,ADJF,NOUN,1,0
16,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
16,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
36,ADJF,PREP,ADJF,INFN,NOUN,ADJF,ADVB,CONJ,INFN,,10,0
18,NOUN,,NOUN,NOUN,PREP,,NOUN,NOUN,INFN,,3,0
3,,,,,,ADJF,ADVB,,,,1,0
11,ADJF,ADJF,ADJF,ADVB,CONJ,NOUN,ADJF,NOUN,,,1,0
22,PREP,INFN,ADJF,NOUN,NOUN,PREP,NOUN,PREP,NOUN,ADVB,1,0
74,NOUN,CONJ,,ADJF,INFN,INFN,PRCL,ADJF,PREP,NOUN,3,0
23,NOUN,NOUN,ADJF,NOUN,NOUN,ADJF,,NOUN,ADJF,ADJF,1,0
5,NOUN,,,,,NOUN,,NOUN,,,1,0
3,ADJF,INFN,,,,,,,,,2,1
28,PREP,NOUN,PREP,INFN,NOUN,CONJ,NOUN,CONJ,ADJF,NOUN,1,0
28,ADJF,ADJF,INFN,ADVB,NPRO,,ADVB,NOUN,ADVB,INFN,1,0
4,NOUN,ADJF,NOUN,,,,,,,,1,0
16,ADJF,NOUN,PREP,NOUN,ADJF,,,,,,1,0
12,,ADJF,CONJ,CONJ,,PREP,NOUN,ADJF,NOUN,PREP,1,0
11,NOUN,ADJF,,,,ADJF,ADJF,NOUN,,NOUN,1,0
4,NOUN,ADJF,PREP,,,,,,,,1,0
4,PREP,,,,,PREP,NOUN,,,,3,0
3,PREP,,,,,ADJF,,,,,1,0
3,INFN,NOUN,,,,,,,,,1,0
16,NOUN,ADJF,NOUN,NOUN,NUMR,NOUN,,,,,1,0
22,ADJF,NOUN,NOUN,NPRO,,CONJ,ADJF,NOUN,ADJF,NOUN,1,0
3,ADJF,,,,,ADJF,,,,,6,0
31,NOUN,PREP,ADVB,NOUN,PREP,NOUN,NOUN,NOUN,,,6,0
3,,,,,,PREP,NOUN,,,,111,0
24,NOUN,INFN,PRCL,,,NOUN,,,,,1,0
3,,,,,,PREP,NOUN,,,,3,0
